"id","gender","grade","content","award","publishTime"
"3425","男生","研究生","灯神啊灯神，我们打算年后去柬埔寨玩几天，时间大概是2.14到2.22，目前确定有一个女生，还有一个人在犹豫，有兴趣的朋友和我联系，是一对情侣就更好啦！","报答的话，几个棒棒的队友","2017-01-21 22:08:42"
"3426","女生","研究生","灯灯灯灯～我想明年开春去学钢琴，问问我工五山校区附近有没有靠谱的琴行，最好还能提供闲时练琴房的(●&deg;u&deg;●)​&nbsp;」","来华工请你吃一顿，喝奶茶？鱼粉？滑蛋饭？还是吃鱼","2017-01-22 14:01:54"
"3427","女生","大三","灯神呐灯神，求现在还在学校的亲，偶登不上教务管理系统，想帮忙查一些东西，谢谢～","红包或者开学请吃饭？只要恰当都是可以的喔&hellip;","2017-01-22 19:46:10"
"3428","女生","大二","第一次做这种许愿的事儿~我是华师的外文妹纸，希望找一个华工/华师/广外的童鞋鞭策我寒假学习，可以互相鞭策进步呀捂脸。学霸最好嘻嘻。","找个机会一起去猫咪咖啡馆聊天/学习，吃喝我包~","2017-01-23 17:34:33"
"3429","女生","大二","第一次做这种许愿的事儿~我是华师石牌校区外文的一枚大二妹纸，想找华工/华师/广外的童鞋鞭策我学习，互相鞭策进步呀捂脸。学霸最好嘻嘻。除了学习，可以多跟我聊聊一些project，竞赛，社团，吃喝玩乐的事情哈哈哈。会狼人杀就教我教我教我。哈哈哈好像心愿有点多了...还是学习为重捂脸","找个机会猫咪咖啡馆聊天/学习，吃喝我包嘻嘻。","2017-01-23 17:42:22"
"3430","男生","大一","会玩LOL的妹子，我们来开黑呗","能力范围内都可以","2017-01-24 14:25:04"
"3431","男生",\N,"想交个女生朋友，类似红颜知己，可以陪她污，陪她疯，陪她去看日出日落","有很多","2017-01-24 21:09:30"
"3432","男生","大二","灯哥，我也不知道我应不应该脱单，也不知道这算不算脱单，我只是觉得自己这个寒假好颓废，所以好想能找到一位愿意在下学期和以后监督我多做点事的她，虽然不奔着结婚去#笑哭#，不过还是希望可以好好相处，能经常在一起见面玩耍什么的，我很有诚意的哦。","","2017-01-25 00:13:38"
"3433","女生","大一","我想问一下五山这边哪里可以取火车票？","红包~~&hellip;","2017-01-25 11:42:17"
"3434","男生","大三","灯神啊灯神，刚刚参加完美赛，看见又有一个&ldquo;数帆杯&rdquo;的数模知识比赛，看到可以组二十个人就想玩一下，二十个人啊！二十个人啊！二十个人一起肯定很好玩啊！","比赛时间是初一到初四。肯定没几个人去比，那我们去水个奖？","2017-01-25 15:48:44"
"3435","女生","大四","本人160cm女子一枚，大四实习中，喜欢大自然，用真心，求一枚男友：90年出生，有趣幽默。视力正常，170+，爱运动爱生活，思想、行为成熟，自信不缺大方，体贴不缺细腻，为人处世不失大体（总结起来就是情商高）。用前面22年的时间优秀自己，用现在灯神的平台遇见你，用后面一辈子的时间守护你。一起进步，被你宠成女儿，谈一场走心的恋爱。条件是理想的状态。拒绝欺骗，拒绝老司机，拒绝撩。非诚勿扰~可介绍","","2017-01-25 17:37:27"
"3436","女生","大四","本人160cm女子一枚，大四实习中，喜欢大自然，用真心，求一枚男友：90年出生，有趣幽默。视力正常，170+，爱运动爱生活，思想、行为成熟，自信不缺大方，体贴不缺细腻，为人处世不失大体（总结起来就是情商高）。用前面22年的时间优秀自己，用现在灯神的平台遇见你，用后面一辈子的时间守护你。一起进步，被你宠成女儿，谈一场走心的恋爱。非诚勿扰~可介绍","","2017-01-25 18:10:55"
"3437","女生","大四","本人160cm女子一枚，大四实习中，喜欢大自然，用真心，求一枚男友：90年出生，有趣幽默。视力正常，170+，爱运动爱生活，思想、行为成熟，自信不缺大方，体贴不缺细腻，为人处世不失大体（总结起来就是情商高）。用前面22年的时间优秀自己，用现在灯神的平台遇见你，用后面一辈子的时间守护你。一起进步，被你宠成女儿，谈一场走心的恋爱。非诚勿扰~可介绍","","2017-01-25 18:10:56"
"3438","男生","博士","2017年1月19日晚6时许在华工中区食堂楼下中行atm处拾到中行银行卡一张。","你的卡","2017-01-25 20:05:23"
"3439","女生","大一","有人一起看范玮琪深圳演唱会吗
求组队","交个朋友吧","2017-01-26 17:14:40"
"3440","男生","研究生","灯神，我是华工一名研究生，赐我一个女朋友吧。","","2017-01-27 08:54:18"
"3441","女生","大一","灯神啊灯神，我是华工新闻专业的一名学生，寒假中被史记感动，想年后去西安或南京瞻仰我们中国的历史，跟团会失去很多静静观望的时间，一时身边没有家人和好朋友有出行计划，怕家人担心，所以真诚地在这里求一名队友。我是广东女生，会摄影，可以一起商量策划路线，希望找到一个可爱的女孩成为合拍的玩伴。。。。对了我有还个缺点，就是遇到好看的风景时会慢下来发发呆。","我们一起慢慢走。","2017-01-28 04:43:08"
"3442","男生","大一","只想2017不再孤单","","2017-01-28 11:02:53"
"3443","女生","大四","帮165大长腿乖妹子闺密脱单，有意先发张自拍给我","","2017-01-28 12:58:17"
"3444","女生",\N,"我喜欢就好","","2017-01-28 16:25:03"
"3445","女生","大一","1.二手自行车","实惠的价格，就请你吃饭堂的一餐饭。","2017-01-30 11:11:58"
"3446","女生","大三","灯哥，新年好啊，我有一个想要脱单的朋友，我已征得她同意此心愿。她很漂亮，会跳舞，唱歌也很好听。她喜欢178以上的，阳光，稳重，有责任心，颜值好点的男生，有意者可以加我（非诚勿扰）","","2017-01-31 17:27:23"
"3447","女生","大四","灯神，我是一名大四实习生，在广州番禺实习，想开学上班之前去动物园。时间是元宵过后，地点是广州动物园。希望找个伴：了解多种动物，耐心讲解，健谈，体力充沛，一起走路逛完动物园。","门票","2017-01-31 23:22:16"
"3448","男生","大三","广西大学一名大三学生，想考贵校新闻传媒专业的研究生&mdash;&mdash;跨专业！","请吃饭！！！陪聊！！陪约！","2017-02-01 23:17:09"
"3449","女生","大二","急急急！2月4号五月天演唱会开团了但是还是没找到队友！想买看台355或者455的，有人吗有人吗？！？！","请你吃饭？","2017-02-02 19:07:55"
"3450","男生","大四","领养了一只中华田园猫，养了两年了，母猫，身体健康，做了绝育，因私人原因不能继续好好照顾，想在开学前给它找到个在南校的新主人 （其实可以送回它妈主人家，但还是想有时间能够见到它）","猫用品，有意愿的加我了解","2017-02-04 00:29:27"
"3451","男生","大四","领养了一只中华田园猫，养了两年了，母猫，身体健康，做了绝育，因私人原因不能继续好好照顾，想在开学前给它找到个在南校的新主人 （其实可以送回它妈主人家，但还是想有时间能够见到它）","猫用品，有意愿的加我了解","2017-02-04 00:29:27"
"3452","女生","大四","灯神啊灯神，我是华工南校13级的女同学，3月25日考雅思，求有同时准备考雅思的妹子一起练口语，啥报酬都行","一顿饭哈哈","2017-02-04 10:50:25"
"3453","女生","大一","灯神啊灯神
想知道有人2月6号左右在广州的吗？希望有好心人能够帮一下我的忙 真心感谢","必须交朋友呀  然后你说 可接受范围内","2017-02-04 12:10:05"
"3454","男生","大四","大四快结束了，四年里的几双穿坏了的篮球鞋不舍得扔，又无处安放。多少人想把记载自己曾经努力和辉煌的球鞋留在校园的某个角落。突然之间萌生一个想法：在华工各个篮球场找面墙或者铁丝网（比如北区），做成战靴退役墙，所有人都可以去挂上自己的一双战靴，鞋里留下自己的名字。谁想一起","一面面特别的纪念墙","2017-02-04 15:04:53"
"3455","女生","大二","灯神灯神 想要转让一张26号晚五月天的票！看台655的那个","给你票咯噜噜噜","2017-02-04 16:09:47"
"3456","女生","大一","打算3月份去重庆或者是昆明旅行（日期还没有定 就想星期四一大早或者星期三晚上去星期天晚上回）然后想看看有没有同伴要一起的嘻嘻 性别没有什么要求最好是女生不过 爱拍照会拍照最好哈哈","认识到我这个朋友嘻嘻","2017-02-05 20:31:25"
"3457","男生","大三","本人华工南校区大三学生，招推销员一名。位置：福建漳州。要求:艰苦肯拼，善于交际，最好是福建本地人。内容：将本厂成品羊销于周边地区，例高档酒店，饭馆等。
有意同学请联系我，工资面议，具体情况面议。",".","2017-02-06 10:52:07"
"3458","女生","大二","我是南校大二女生，很想玩长板，但是零基础，想找南校的玩长板的胖友带带我～ ","一个有相同爱好的胖友呀","2017-02-06 15:08:35"
"3459","女生","大四","我想在大四最后一学期去学车，想找个人推荐一个靠谱的教练，比较急&hellip;&hellip;","一顿饭吧","2017-02-06 16:25:53"
"3460","女生","大四","用真心求一信友。","一名真诚的信友。","2017-02-06 20:34:27"
"3461","男生","大二","灯神啊~有喜欢客机摄影的小伙伴吗？如果你同时也对羊角(地铁)感兴趣就更棒辣哈哈。图片是上次跟一位华工读研的师兄去拍的。","一起去机场拍鸡咯(&acute;▽｀)ノ♪","2017-02-08 01:14:48"
"3462","男生","大二","2月18号去香港红馆看演唱会，求个队友分摊房费","一个人形自走香港地图以及一个粤语翻译","2017-02-08 01:52:38"
"3463","男生","大二","华工吴彦祖，我想要出Bose的QC25耳机，黑色，加拿大正品行货，购入一年多，听得比较少。私聊取图，指哪拍哪。价格1250可小刀。谢谢！","无","2017-02-08 02:11:05"
"3464","女生","研究生","找一个人谈恋爱","","2017-02-08 11:20:48"
"3465","女生","大三","灯神呀灯神，我是来自湖大（坐标武汉）的18考研党（小可爱），一直就很喜欢华工大，想来羊城，本科没考上，希望研究生能考上华工呀，有没有工商管理学院的学姐或学长呀，可以解答哈我的几个小困惑，谢谢灯神呀","吃货带你飞呀还有&hellip;&hellip;（嗯，还有省略号！）","2017-02-08 14:19:52"
"3466","男生",\N,"我希望找一个女朋友，去遍所有美丽的地方，丽江，三亚，漓江，乌镇，张家界，凤凰，西藏，内蒙...","","2017-02-08 14:44:49"
"3467","男生","大二","我想去旅游，求撸友","一餐饭","2017-02-08 14:48:07"
"3468","女生","大三","拜托灯灯","一个不算坑的伙伴","2017-02-08 16:06:11"
"3469","男生","大三","望寻一二朋友元宵逛广州越秀花灯会，诚邀","你猜","2017-02-08 22:11:11"
"3470","女生",\N,"新的一年，愿一切顺利，希望找到一位聊的来生活充满诗意化的知己好友","一份小礼物或者一顿饭","2017-02-08 22:41:08"
"3471","女生","大三","灯神啊灯神，我是大三的老姐姐啦，今年五月份有计划考BEC-H 希望能找到一个志同道合的partner， 平时能够互相督促共同刷题练习口语呀！","平时都可以约饭聊聊人生呐！一个好朋友怎么样！","2017-02-08 23:03:28"
"3472","女生","大三","wuli灯灯，能不能帮我找到一个人er教教我粤语呢～～尤其去了港澳听不懂人家讲啥真是尴尬呢","陪聊","2017-02-08 23:35:41"
"3473","女生","大四","下学期大四，要重修高数下，不然毕不了业了。找一个师父，或者队友，出来一起复习。","请吃饭啊，多少顿饭你说。","2017-02-08 23:52:38"
"3474","女生","大三","灯神呀灯神，我是来自湖大（坐标武汉）的18考研党（小可爱），一直就很喜欢华工大，想来羊城，本科没考上，希望研究生能考上华工呀，有没有工商管理学院的学姐或学长呀，可以解答哈我的几个小困惑，谢谢灯神呀
","吃货带你飞呀还有&hellip;&hellip;（嗯，还有省略号！）","2017-02-08 23:58:26"
"3475","男生","大一","新学期寻求一起过的人儿，喜欢唱歌的我也希望找到爱唱歌的你","","2017-02-09 00:13:25"
"3476","男生","大二","灯叔，我又嚟咗，我也不知道我应不应该脱单(毕竟脱单了还要请吃饭)，也不知道这算不算脱单，我只是觉得自己这个寒假好颓废，所以好想能找到一位愿意在下学期和以后监督我多做点事的她，虽然不奔着结婚去#笑哭#，不过还是希望可以好好相处，能经常在一起见面玩耍什么的，我很有诚意的哦。(本寶寶肥肥傻傻啲，也只有賣嘢嘅aunt叫我靚仔，所以。。。)","","2017-02-09 19:12:16"
"3477","女生","大三","灯神啊灯神 我想求一个考研自习的座位～最好是北区山上那个三楼的座位～","我可以请你吃顿好的！拜托了！吃啥你提～不要太贵～","2017-02-09 22:49:42"
"3478","女生","大三","灯神啊灯神，我是一名大三的妹纸，真诚想找17年准备考研的小伙伴（男女不限，想考外校的更好），互相督促一起努力，多交流争取一起考上理想的学校。","一个靠谱的队友，真诚的朋友，可爱的女朋友也不是没可能哈哈&hellip;&hellip;","2017-02-10 08:20:02"
"3479","男生","大三","会提前10天左右回学校，所以有木有约学习的呢？地点我想去越秀图书馆，骑单车过去。现在在看商务英语，妹子最好，因为也有脱单的愿望。","吃饭唱歌弹吉他教打球玩健身都行，我不会的也可以一起学嘛。","2017-02-10 10:43:19"
"3480","男生","大二","污神好，我是华工大二的，虽然还没到开学，可真的有一件事情很想开学前问大家：有没有人在大学城学过车，父母希望我在广州报，就是想了解费用、练车时间&hellip;以及有哪些，谁不坑，啊，就是有很多问题，想开学前能够了解，早日做准备，希望各位了解行情的大佬帮一下我这个小白，呃，给个小红包报答？谢谢","学生没什么钱，小小的红包？或者你说一下？","2017-02-10 15:18:46"
"3481","女生","大二","万能灯神，请问有实习或在企业市场部工作或读市场营销的同学吗～?我不是市营专业的，但是希望以后的职业发展是这方面，想了解了解，求解答些小问题～","一些小心意","2017-02-10 18:07:05"
"3482","女生","大三","想尝试认识一些人啦，感觉可以的话想脱单。希望对方是大三以上的学生，身高  173cm以上，广东省的，爱学习。本人性格比较温和，慢热，从认识开始，如果不合适的话，希望也是可以一起进步，交流的朋友。（看到照片不要介意哈，个人还是诚意十足的）","","2017-02-10 20:21:42"
"3483","女生","大三","灯神啊灯神，我想通过这个平台寻觅小男友一枚~~~小女子芳龄21，大三，虽长的不美，但身材不好，所以有人喜欢我吗？","","2017-02-10 21:11:24"
"3484","女生","大三","想认识一些朋友，可以的话想尝试脱单。希望对方是174cm及以上，年级大三以上咯，广东省，爱学习的人。本人性格温和，慢热，嗯嗯，多交交朋友","一个朋友","2017-02-10 22:22:04"
"3485","男生","研究生","One day someone will walk into your life, then you realize love was always worth waiting for. ","","2017-02-10 23:23:16"
"3486","女生","大二","灯神呀灯神~第一次许愿，想找一个平时看点西甲的人一起看，或者一起讨论讨论，不知道能不能实现呢~~","一起讨论嗨皮?有个聊伴？","2017-02-12 06:21:32"
"3487","女生","大三","灯神啊灯神，过两天就是情人节了，我想在那天去看越秀公园的灯会。家不在广州，广州这边的广府庙会第一次来凑热闹，想到处看看。这是第一次，也是最后一次了，想给自己一个机会，求约一个蓝孩纸一起去看灯会，猜灯谜。猜灯谜这个得集思广益，我一个人搞不定啊(【其实是觉得情人节的时候不想被看的那么孤单可怜】๑ १д१)我是比较会聊天的妹纸，长得还算过得去吧，比较面善，160&plusmn;1cm","一个微胖妹纸陪你看灯会٩(●&acute;৺`●)૭٩","2017-02-12 10:45:40"
"3488","女生",\N,"我是毕业的师姐，现在需要2～3名在校本科师妹帮我做兼职，有网购经验优先，手机即可操作。非诚勿扰！","私下协商报酬，谢谢！","2017-02-12 11:04:35"
"3489","女生","大四","灯神，你好。也算是乐队脱单，需要团体合作✨我们是华南理工大学大学城校区融乐队，在2014年成立融乐队，拿下了一些音乐全国性奖项，有些原创单曲已经和网易云音乐签约版权使用了。我们有件事坚持了2年，就是出一张咱们学校的原创专辑。现在，专辑即将完工，实现我们乐队当初的承诺，需要找到社团或者是学校组织进行合作，开学之际在学校摆摊将我们的原创专辑免费赠送大学城朋友。作为我们乐队几个人毕业之际为学校和自己留下的最后一点回忆。希望有意的社团，组织联系我们❤️融乐队感谢","","2017-02-12 15:49:38"
"3490","女生","大四","灯神，你好。也算是乐队脱单，需要团体合作✨我们是华南理工大学大学城校区融乐队，在2014年成立融乐队，拿下了一些音乐全国性奖项，有些原创单曲已经和网易云音乐签约版权使用了。我们有件事坚持了2年，就是出一张咱们学校的原创专辑。现在，专辑即将完工，实现我们乐队当初的承诺，需要找到社团或者是学校组织进行合作，开学之际在学校摆摊将我们的原创专辑免费赠送大学城朋友。作为我们乐队几个人毕业之际为学校和自己留下的最后一点回忆。希望有意的社团，组织联系我们❤️融乐队感谢","","2017-02-12 15:49:38"
"3491","女生","大四","灯神，你好。也算是乐队脱单，需要团体合作✨我们是华南理工大学大学城校区融乐队，在2014年成立融乐队，拿下了一些音乐全国性奖项，有些原创单曲已经和网易云音乐签约版权使用了。我们有件事坚持了2年，就是出一张咱们学校的原创专辑。现在，专辑即将完工，实现我们乐队当初的承诺，需要找到社团或者是学校组织进行合作，开学之际在学校摆摊将我们的原创专辑免费赠送大学城朋友。作为我们乐队几个人毕业之际为学校和自己留下的最后一点回忆。希望有意的社团，组织联系我们❤️融乐队感谢","","2017-02-12 15:49:39"
"3492","女生","研究生","典型射手座的女生，想找一个在2月24左右能一起去澳门玩的女生。没有什么特别要求，只希望是一个能认真欣赏风景的人。一起随走随逛，外加瞎聊聊。","一段难忘的旅途","2017-02-12 18:12:36"
"3493","女生","大三","最近自己做了一个私人公众号，希望能从自己狭小的世界走向独立丰富的世界。希望各位小伙伴们能关注关注，共同做一个有趣的人，放心，绝无广告哦，都是我喜欢的向往的。
（公众号名称:三十九度三）","关注了咱们建个群抢红包哈哈，记得加我微信","2017-02-12 19:52:59"
"3494","女生","大一","小灯神，我是华农一名大一学生。2月11日晚6点40左右拎着行李箱在五山站B1出口上楼梯上有一位华工的(应该是)师兄帮我拎上去了，很后悔没追上去要联系方式。他当时带着白色耳机，穿着(好像是)蓝白的运动型风衣(反正是有带蓝色的)，普通话挺标准。我也知道特征太少了，但是希望灯神能帮我找到他，万分感谢。","一顿饭or华农酸奶都可以","2017-02-13 01:01:13"
"3495","女生","大一","小灯神我可以补充一下吗&hellip;我还是那个华农的女生。
遇到华工师兄的时候我穿着灰色外套加白色高领内搭，牛仔裤，短发。当时拎着蓝色的行李箱和电脑包。
听说这样会比较容易找到他，希望各位华工的大大问问你们的室友同学可以吗？谢谢！","一顿饭or华农酸奶or小礼物三选二","2017-02-13 18:54:33"
"3496","男生","大一","灯神啊灯神，我想找一个可爱的女孩子，做个朋友啊，陪聊天啊，陪约啊，陪在你身边","很多很多啦","2017-02-13 21:16:08"
"3497","男生","研究生","今天（2月13号）再次在去南区饭堂吃饭回来时在红棉苑1栋那遇见了当初要找的人 她往里边去 该不会是老师的女儿 不是华工在读生","缘分吧","2017-02-13 23:00:24"
"3498","女生",\N,"在南校没什么朋友，想多认识点人，我172，性格开朗，活泼，是运动，爱唱歌","私下协商咯","2017-02-14 13:16:05"
"3499","女生",\N,"我是毕业的师姐，现在需要2～3名在校本科师妹帮我做兼职，有网购经验优先，手机即可操作。非诚勿扰！
","报酬私聊，谢谢","2017-02-14 14:05:39"
"3500","女生","大三","最近做了自己的公众号，时不时发点自己的小感想，希望自己能成为一个有趣而丰富的人吧。希望在灯神这里能有40位小伙伴关注我的公众号，共同做一个有趣的人（公众号名称：三十九度三）","关注了的加我微信xhzzlOrz，咱们抢红包吧。学生党钱不多，大家不要介意","2017-02-14 16:36:30"
"3501","女生","大三","心里彻底失落，伤心想哭，请灯神赐予我快乐。","。","2017-02-14 16:51:26"
"3502","女生","大三","找他 带我忘掉悲伤 愿意为对方付出 不仅物质还有精神上的   ","可爱 漂亮 爱笑 活泼 矮萌 说粤语","2017-02-14 20:54:54"
"3503","女生","大三","找他 带我走出悲伤 阴影 卑微，互相愿意为对方付出不仅物质还有精神上的愉悦，愿意把我捧在手心呵护，愿意向我低头。","大三 可爱 漂亮 爱笑 活泼 矮萌 说粤语","2017-02-14 21:26:40"
"3504","女生","大三","灯神啊灯神 这是我最好的朋友 她孝顺开朗积极向上美丽大方会做饭上进努力等等等等 我觉得她真的挺优秀 粤语流利嘿 她168高 我想给她找个175以上的阳光帅气高大孝顺上进优秀成熟稳重踏实的男生（是的 你要足够自信）","","2017-02-14 23:25:15"
"3505","男生","研究生","我是个性格偏稳重的男生，广东人，目前在读研究生。身高180，健谈有幽默感。爱好是看剧，听歌，打篮球。待人处事很负责，但有时候可能会小较真。情人节发个愿望，希望能找到一个脾气好，个子高，同样来自广东的女孩，一起过剩下的所有的情人节。","","2017-02-14 23:38:54"
"3506","女生","大一","终于可以放下一起去好好谈恋爱了 希望可以遇见一个能让我怦然心动的男生 有趣 幽默 认真 178+ ...","","2017-02-15 02:44:02"
"3507","男生","大二","找不到想要的心愿描述 索性点了第一个 
求&ldquo;夜不能寐&rdquo;的解决方法
嗯~我终于还是来了这儿~","","2017-02-15 03:16:22"
"3508","女生","大一","终于要放下执念 希望可以遇见一个有趣的男生一齐谈场有趣恋爱 有趣 运动 认真 搞笑 178+╮(￣▽￣)╭","","2017-02-15 10:40:17"
"3509","女生","研究生","灯神啊灯神，我想要买到两张3月4号梁静茹广州站的演唱会票，388or488的，有谁买到没时间去可以联系我，谢谢","一个好人","2017-02-15 15:49:28"
"3510","男生","大一","灯灯，我想在开学时买辆二手山地车，有没有童鞋有山地车转让的？价格在200-300都可以接受","毛爷爷","2017-02-15 16:17:51"
"3511","男生","大四","有人说，许多所谓缘分，朝生暮死，脆弱不堪。
也有人说，爱情就像鬼，相信的人多，遇见的人少。
不置可否，
","希望你是拥有有趣灵魂的可爱人儿，
希望你是一条生生不息的河流，
耶～
这里就不给看，懒惰的鸟儿没虫吃哦～","2017-02-15 16:39:57"
"3512","男生",\N,"想交个女生朋友，类似红颜知己，或者更直接说是代男友，我们可以疯，通宵看鬼片看电影聊天最后哭得稀哩哗啦，可以一整个周末都在探店，可以夜晚陪你去喝得酩酊大醉，可以污可以做情侣该做的事，也可以日出日落或是安静滴看一天书，。但，我们不要相爱，因为我害怕喜欢上一个人，怕失去对方，所以希望能找一个这个的女生，可以做她代男友。
","私聊，哈哈哈","2017-02-15 21:32:09"
"3513","女生","研究生","小灯神啊，希望你可以帮我找到烤鸭队友，我是3.18号那场的。希望有小伙伴一起复习雅思，互相督促，共同进步。最好也是研究生啦","平时可以一起刷题，一起吃饭，互相吐槽哦","2017-02-15 22:40:29"
"3514","女生","研究生","华农要禁电动车啦，同时师姐快要毕业了，卖300，需要每天充电哈，之前每日往返图书馆食堂6趟不成问题，满足基本需求，可以试用3天，不满意可退。毕业季忙，非诚勿扰哈，谢谢。","良心价300","2017-02-15 23:10:11"
"3515","男生","大四","女朋友做过的让我不开心的事，便是她至今还没有出现呢～
我已经为明年的情人节做好准备了哦！
女生选男友看脸并不肤浅，我很平凡，相片仅代表我的诚意！","","2017-02-15 23:23:24"
"3516","男生","研究生","灯神啊灯神，我是五山华工研一，男生，最近想去参加一个登山活动，在十八号，具体活动内容可以加了微信后给你看。","一个好的活动","2017-02-16 00:06:35"
"3517","男生","大二","求炮友 能打鞭炮 会说大炮 会做大炮
求泡友  泡网吧 酒吧 歌吧 各种吧的泡友
灯神 你要是美女的话，我不介意喜欢上你
哈哈哈哈哈 没错  就是要炸了这座高地 就是要浪","","2017-02-16 02:00:20"
"3518","男生","大二","来个能聊的有没有？？？现在。。。","","2017-02-16 03:36:40"
"3519","男生","大四","大家好，我是汕头大学的大四的学生，考研考的是物理学，达到了华工的分数线，想问一下大家有没有复试方面的一些小的tips.谢谢大家。","一顿啦，等我到华工好好感谢你们，","2017-02-16 15:01:37"
"3520","女生","大三","教育机构现在想要找多两名家教兼职，工资是1节课200元，时长为1.5小时一节课。科目为:英语，化学
可以的话这周开始上课，地点在市桥地铁口附近。","200/1.5小时。我想这就是最好的报答了吧~","2017-02-17 08:33:40"
"3521","男生","大四","寻有一定把握进入中大考研复试的同学抱团，共享信息互相帮助。专业最好为经管类。","～","2017-02-17 14:00:44"
"3522","女生",\N,"诚征演员：我是华工去年毕业的学生，现在是香港浸会大学MFA专业的学生，正在帮学姐准备毕业作品的拍摄，想诚邀对表演有兴趣的师弟师妹，一起来参与我们的拍摄~表演经验不限~需要能讲流利粤语的男生女生，有意者可以联系我或直接拉到图片下方有联系方式哦~感兴趣的各位素人，快来献出你们的荧幕初恋吧。该片6月份会在香港科学馆公映～ ​​​","薪酬面谈～上大荧幕的机会！","2017-02-17 15:17:26"
"3523","女生","大一","I just want someone who never lets me down.","","2017-02-17 15:41:30"
"3524","女生","大二","灯神啊灯神，新学期开学想找研友。大二大三都行，男女不限，西区优先，想考北京的better，最好是汉子性格，需要那种已经有比较明确目标的。只是想找个人一起约学习，我们互不干扰，各自为目标努力。","如果我们志趣相投，一定会从彼此身上汲取更多能量。届时约饭还不是分分钟的事儿～","2017-02-17 23:37:27"
"3525","女生","大一","找个有趣的人，一起去泡图书馆，一起学习，一起飞呐。","有个人陪你学习陪你飞呐","2017-02-18 11:00:22"
"3526","女生","大一","找个有趣的人，一起去泡图书馆，一起学习，一起飞呐。","有个人陪你学习陪你飞呐","2017-02-18 11:00:22"
"3527","女生","大一","灯神啊，灯神，我是南校一姑娘，我想找的ta是图书馆勤工俭学的职位，能不能有哪个好心人要退休的，让我来试一下呀。","一定请吃饭，或者男生的话，把舍友卖给你吧","2017-02-18 12:14:11"
"3528","男生","大四","有人玩天涯明月刀吗，天命风流凤求凰，求小伙伴","走，带你看我房子去","2017-02-18 14:10:49"
"3529","男生","大一","测试","","2017-02-18 16:10:22"
"3530","女生","大二","有没有想考人力资源三级的队友呢 求组队呀 一起组队报名刷题泡馆呀","有队友一起学习嘛☺️","2017-02-18 18:08:30"
"3531","男生","大三","求队友组队去朝鲜，很安全，不用担心，世界上最神秘的地方，好想去探秘一下，时间大概下学期或者暑假，详情私聊","我来帮你办各种手续，么么哒","2017-02-18 22:05:27"
"3532","男生","大三","灯神啊灯神，本人想出5s一台。还比较新，有意者联系，价格好商量。","吃一顿。","2017-02-18 23:32:24"
"3533","男生","大二","今晚需要一个配聊的人，你愿意陪我吗？","哈哈，就是陪聊咯。","2017-02-19 01:07:22"
"3534","女生","大二","灯神啊灯神，我是工管学院的一名大二女生。听说企业文化案例分析大赛快要开始了，所以想参加某只队伍进行比赛。现在担任学助，有过很多次写汇报书申报书的经验。脑洞比较大，也参加过营销比赛。个人自我感觉搜索能力和表达能力还可以，希望能有靠谱的队伍带我一起飞。","一个不会拖后腿的队友","2017-02-19 22:45:58"
"3535","女生","研究生","梁静茹3月4号演唱会门票两张 单张票价499 原价出 有意者联系","无","2017-02-20 00:32:54"
"3536","女生","大二","灯神啊灯神，我是工管学院的一名大二女生。听说企业文化案例分析大赛快要开始了，所以想参加某只队伍进行比赛。现在担任学助，有过很多次写汇报书申报书的经验。脑洞比较大，也参加过营销比赛跟辩论赛。个人自我感觉搜索能力和表达能力还可以，希望能有靠谱的队伍带我一起飞。","一个不会拖后腿的队友","2017-02-20 01:24:45"
"3537","男生","大三","灯神，你好，这里能找到个喜欢跑步，热爱健身，钟情于篮球的妹子么？","","2017-02-20 01:25:38"
"3538","男生","大四","有没有广外研究生新闻专业的同学 或者认识新闻专业的同学 推荐给我 想问点考研的事","大大大大大红包 因为这方面对我很重要 不满意可以直接拉黑我","2017-02-20 10:32:00"
"3539","女生","大四","灯神啊灯神，我是毕业在即的SCUTer,想找队友四月初去东京赏樱，今年的樱花来的早喔～靠谱就成，四天左右。","玩呗","2017-02-20 11:11:21"
"3540","男生","大二","灯神啊灯神，我是在校学生，想在网上交几个朋友。","一首歌一个小礼物，等等小心意。","2017-02-20 11:24:43"
"3541","男生","大三","混了三年，觉得我们找外快最好的方法就是补习了，但是那些补习机构很坑，给华工缺钱的货介绍个补习中介(补高中的，学生成绩不太好，你不用有压力，尽力就好)，不能保证一定能给你介绍合心水的，但加了你肯定不亏，接到的话你的大学肯定过得很滋润！","给你过一个&quot;肥大学&quot;怎样？","2017-02-20 14:55:07"
"3542","女生","研究生","灯神啊灯神，我是华工管院研一的妹子，今年5月份要考BEC高级，还木有找到备考的队友，希望找到一个玩真的的人一起备考！","一起练口语哦，交个朋友呗，见面给糖吃","2017-02-20 16:29:10"
"3543","女生","大三","灯神，你好！我是广外艺跨专业的插本生，想找人帮我补习中级财务会计和成本管理会计。
我接受能力较强，作为报答可以帮你做很多事，各种闲置免费送，也可以给薪水（跟托管补习的薪水差不多）","尽量满足你的愿望","2017-02-20 19:10:00"
"3544","男生","大三","灯神啊灯神，我是隔壁学校的师弟，有没有有机化学专业的研究生师兄师姐，可以帮我解答一下考研的疑问","红包酬谢","2017-02-21 12:01:57"
